No.,Filing Yr,Pub Yr.,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Filing Date,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,Solar Finance/ Business Model,Miscellaneous,Filing Year,
43,2006,2008,29-May-08,US 2008/0123373 A1,"Robert Roesner, Said Farouk Said El-Barbari, Hans-Joachim Krokoszinski, Michael Andrew de Rooij",,Solar Inverter,"11/564,313",11/29/2006,CURRENT FED POWER CONVERTER SYSTEM INCLUDING NORMALLY-ON SWITCH,29-Nov-06,,,Electronics manufacturer,"Schenectady, NY",NY,USA,A system includes an energy source configured for operating as a current limited source and a DC-to-DC converter or current switched inverter configured to receive current from the energy source and comprising a normally-on switch.,Inverter configured with semi-conductor switch and power-fed booster to manage voltage output,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=458&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=10&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,1,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2006,
24,2006,2007,19-Apr-07,US 2007/0086215 A1,Bill Taylor,,Solar Inverter,"11/581,062",10/13/2006,Inverter operation modes,13-Oct-06,,,,"(Bend, OR)",OR,USA,"Disclosed herein is a three-phase, grid interactive inverter capable of multiple modes of operation including: a normal mode for transferring DC power to a utility grid, a constant AC current mode for limiting inverter output, a constant DC voltage mode used for DC testing, and a PV array simulation mode for testing of other inverters in the manufacturing process.",Three-phase inverter for grid-tie solar production,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=492&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=10&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,,,"[0001] This application is a Continuation In Part of co-pending U.S. patent application Ser. No. 11/400786 which was filed on Apr. 7, 2006 and which claimed priority under 35 U.S.C. .sctn. 119(e) to U.S. Provisional Patent Application No. 60/669,487 which was filed on Apr. 7, 2005. Co-pending patent application Ser. Nos. 11/187,059 11/400,720, 11/400,776, 11/400,761, 11/400,775, and 11/400716 are also incorporated herein by reference.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2006,
93,2007,2008,6 Feb 04,US 2008-0030354 A1,"Oldenkamp; Hendrik; (Den Haag, NL)",Assignee information unavailable,Solar Monitoring,"11/628,362",340/635,"Sensor Device for Monitoring the Operation of a PV System, and PV System with Such a Sensor Device ",9 Sep 03,unknown,unknown,,"Den Haag, NL",,NL,"A sensor device (5) for monitoring the operation of a PV system is described. Such a PV system has at least, one PV module (1) with a plurality of PV cells (3) laminated on a support plate (2). The sensor device (5) comprises a substrate (6) with an electronic circuitry (9) adapted to be mounted on the support plate adjacent to PV cells of the PV module. The circuitry comprises two or more input terminals (7,8) for receiving an output voltage of a series connection of one or more PV cells of a PV module, and a comparator (T.sub.1,T.sub.2) for comparing the output voltage received on the input terminals with a first reference voltage corresponding with a first operation level of the PV module. The comparator controls a first signalling element (12) for signalling the operation of the PV module above said first operation level.",power monitoring,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=1109&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=23&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),0,,no,,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,
25,2006,2008,19-Jun-08,US 2008/0142071 A1,"Randy Dorn, Bruce Hachtmann, David Harris, Ilan Gur, David Pearce, William Sanders, Ben Tarbell",MiaSole,Solar Mounting/Rack,11/639428,12/15/2006,Photovoltaic module utilizing a flex circuit for reconfiguration ,15-Dec-06,Start-up,Privately owned,Thin-film Solar PV maker,"Santa Clara, CA",CA,USA,A photovoltaic (PV) module includes a plurality of PV cells and a plurality of reconfigurable interconnects which electrically interconnect the plurality of PV cells.,interconnecting PV modules for easy mounting and installation,,"http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=2&f=G&l=50&co1=AND&d=PG01&s1=%22639,428%22.APN.&OS=APN/%22639,428%22&RS=APN/%22639,428%22",(25 on application),,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2006,
69,2005,2009,1-Jan-09,US 2009/0003024 A1,Peter Knaup,CONERGY AG,Solar Inverter,"11/664,741",10/24/2005,Inverter,24-Oct-05,Established,Publicly Traded,,Hamburg,,Germany,"The invention relates to an inverter for converting a DC voltage into an AC voltage having one or more phases, comprising an intermediate DC circuit having a first and a second DC capacitor unit connected in series between a first and a second terminal of the intermediate DC circuit, and a common earth terminal of the intermediate circuit, and at least one subcircuit for generating one phase of the alternating voltage, each subcircuit comprising: a first and a second auxiliary switch, each with a diode connected in parallel, an AC node for supplying a pulsed voltage, the first and second auxiliary switches being connected in series between the common earth terminal of the intermediate circuit and the AC node and the diodes of said power switches being connected to each other with opposite forward directions, and each of the subcircuits comprises ...",Inverter for use with Solar generation to reduce loss of voltage,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=439&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=9&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,5 (on applicaton),,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2005,
86,2007,2008,13 Aug 04,US 2008-0195561 A1,"Herzig; Michael; (Cold Spring, NY)",Assignee information unavailable,Solar Monitoring,"11/673,649",705/412,SYSTEMS AND METHODS FOR PROVIDING RENEWABLE POWER SYSTEMS BY AGGREGATE COST AND USAGE ,11 Feb 03,unknown,unknown,,"Cold Spring, NY",NY,USA,"Systems and methods of providing power as it is generated at a consumer's premises, the method comprising: providing at least one locally based renewable power system to a consumer; storing the power system's characteristics in a database; determining the consumer's customer variables; monitoring the consumer's customer usage to provide an actual customer usage; determining power system's available incentives; determining the aggregate cost of the power system; determining the break even point of the power system according to a discount rate, amortization period and aggregate cost of the power system; determining the consumers monthly payment according to the consumer's customer variables, the actual customer usage, break even point and the aggregate cost; and billing the consumer the consumers monthly payment.", ,"smart meter, used with solar",http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=1031&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=21&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),0,,no,,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,smart meter,,,TRUE,,,,,
22,2007,2007,27-Sep-07,US 2007/0221266 A1,"Dan Gower Davies, Martyn John Charles Berry, Ian Jonathan Kenyon",,Solar Mounting/Rack,"11/711,522",2/27/2007,Solar roof tile,27-Feb-07,Individual,,,(Bath),,Great Britain,"A solar roof tile comprising an elongate unit whose length is a multiple of the length of a standard roof tile so that it may be substituted for a corresponding number of such tiles, and comprises an elongate trough-shaped member which is adapted to house a heat exchanger including fluid conduits, and a co-operating cover-plate which includes an aperture adapted to receive a transparent cover for the trough-shaped member, or a photovoltaic collector.",Elongated solar PV that is integrated into roof tile for mounting,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070221266%22.PGNR.&OS=DN/20070221266&RS=DN/20070221266,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2007,
92,2007,2008,9 Apr 04,US 2008-0084178 A1,"Dowd; Raymond P.; (San Mateo, CA) ; Linser; Laura E.; (San Mateo, CA)",Assignee information unavailable,complete solar system,"11/764,804",320/101; 307/80,SOLAR POWER SUPPLY WITH MONITORING AND COMMUNICATIONS ,17 Jun 03,unknown,unknown,,"San Mateo, CA",CA,USA,"In various embodiments, an apparatus, method and system for a solar power supply with monitoring and communications is provided. In one embodiment, an apparatus is provided. The apparatus includes a power source. The apparatus further includes a power regulation module coupled to the power source. The apparatus also includes a battery coupled to the power regulation module. The apparatus includes a communications module coupled to the power regulation module.", ,complete system with monitoring component,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=1085&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=22&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),1,,no,60/805089,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,,,,complete system,,,TRUE,,,,,
44,2007,2008,28-Dec-08,US 2008/0314438 A1,"Alan Anthuan Tran, Bao Tran",,Solar Inverter,"11/765,991",6/20/2007,INTEGRATED CONCENTRATOR PHOTOVOLTAICS AND WATER HEATER,20-Jun-07,,,,"(San Jose, CA)",CA,USA,An energy device includes a solar concentrator that concentrates at least 20 suns on a predetermined spot; a solar cell positioned on the predetermined spot to receive concentrated solar energy from the solar concentrator; and a water heater pipe thermally coupled to the solar cell to remove heat from the solar cell.,,Inverter is part of a system to attach water pie to PV modules to collect heat energy as well as iridescent energy. ,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=440&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=9&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,8 ( on application),,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,TRUE,FALSE,FALSE,,,,2007,
81,2007,2009,14 Jan 05,US 2009-0014057 A1,"Croft; Steven; (Menlo Park, CA) ; Dorn; Randy; (Santa Clara, CA) ; Gur; Ilan; (San Francisco, CA) ; Hachtmann; Bruce; (San Martin, CA) ; Hollars; Dennis; (San Jose, CA) ; Jaiswal; Shefali; (Dublin, CA) ; Paulson; Puthur; (Cupertino, CA) ; Pearce; David; (Saratoga, CA) ; Ramanathan; Kannan; (San Jose, CA) ; Sanders; William; (Mountain View, CA) ; Tarbell; Ben; (Palo Alto, CA)",Assignee information unavailable,Solar Inverter; Solar Monitoring,"11/777,391",136/248; 136/244; 136/246,PHOTOVOLTAIC MODULES WITH INTEGRATED DEVICES,12 Jul 03,unknown,unknown,,"Menlo Park, CA",CA,USA,"One photovoltaic module includes a plurality of photovoltaic cells and at least one device selected from a sensor, a data storage device and an indicator. Another photovoltaic module includes a plurality of photovoltaic cells and a flexible circuit configured to act as an antenna for electromagnetic radiation. Methods of using such photovoltaic modules are also disclosed.",data collection and storage,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=966&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=20&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),23,,no,,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,TRUE,,TRUE,,TRUE,,,
54,2007,2009,15-Jan-09,US 2009/0014058 A1,"Steven CROFT, William Sanders, Ben Tarbell",MiaSole,Solar Mounting/Rack,"11/777,397",7/13/2007,Rooftop photovoltaic systems,13 Jul 07,Start-up,Privately owned,unknown,"Santa Clara, CA",CA,USA,"Provided are easy-to-install rooftop photovoltaic systems. One rooftop photovoltaic system includes a roofing material piece, a photovoltaic module disposed on the roofing material piece and an inverter configured to convert DC from the photovoltaic module into AC. Another rooftop photovoltaic system includes at least one active unit including one or more photovoltaic modules each including photovoltaic cells shaped as shingles to provide a roofing material appearance; and one or more inactive units having the roofing material appearance.",Innovation in the siting of solar systems,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=436&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=9&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic, (23 on application),,,Related to ,Application Search, Inverter (claims) Photovoltaic (claims),,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2007,
